LA COUNTY,SF COUNTY,NY COUNTY
90001,94102,10121
90002,94103,10123
90003,94104,10124
90004,94105,10125
90005,94107,10126
90006,94108,10128
90007,94109,10130
90008,94110,10131
90010,94111,10138
90011,94112,10152
90012,94114,10153
90013,94115,10154
90014,94116,10155
90015,94117,10156
90016,94118,10157
90017,94121,10162
90018,94122,10166
90019,94123,10168
90020,94124,10170
90021,94126,10171
90022,94127,10175
90023,94129,10177
90024,94130,10185
90025,94131,10199
90026,94132,10211
90027,94133,10256
90028,94134,10259
90029,94139,10260
90031,94143,10261
90032,94151,10265
90033,94158,10270
90034,94159,10271
90035,94177,10278
90036,94188,10279
90037,,10280
90038,,10281
90039,,10282
90040,,10285
90041,,10286
90042,,10292
90043,,10451
90044,,10454
90045,,10463
90046,,10001
90047,,10002
90048,,10003
90049,,10004
90052,,10005
90056,,10006
90057,,10007
90058,,10009
90059,,10010
90060,,10011
90061,,10012
90062,,10013
90063,,10075
90064,,10014
90065,,10016
90066,,10065
90067,,10017
90068,,10018
90069,,10019
90071,,10020
90074,,10021
90077,,10022
90084,,10023
90089,,10024
90094,,10025
90095,,10026
90096,,10027
90099,,10028
90189,,10029
90201,,10030
90210,,10031
90211,,10032
90212,,10033
90220,,10034
90221,,10035
90222,,10036
90230,,10037
90232,,10038
90240,,10039
90241,,10040
90242,,10041
90245,,10043
90247,,10044
90248,,10060
90249,,10069
90250,,10080
90254,,10087
90255,,10090
90260,,10102
90262,,10103
90263,,10111
90264,,10112
90265,,10114
90266,,10116
90270,,10117
90272,,10118
90274,,
90275,,
90277,,
90278,,
90280,,
90290,,
90291,,
90292,,
90293,,
90295,,
90296,,
90301,,
90302,,
90303,,
90304,,
90305,,
90401,,
90402,,
90403,,
90404,,
90405,,
90406,,
90501,,
90502,,
90503,,
90504,,
90505,,
90508,,
90601,,
90602,,
90603,,
90604,,
90605,,
90606,,
90631,,
90638,,
90639,,
90640,,
90650,,
90660,,
90670,,
90701,,
90702,,
90703,,
90704,,
90706,,
90710,,
90712,,
90713,,
90715,,
90716,,
90717,,
90723,,
90731,,
90732,,
90733,,
90744,,
90745,,
90746,,
90747,,
90755,,
90802,,
90803,,
90804,,
90805,,
90806,,
90807,,
90808,,
90810,,
90813,,
90814,,
90815,,
90840,,
90895,,
91001,,
91006,,
91007,,
91008,,
91010,,
91011,,
91016,,
91017,,
91020,,
91023,,
91024,,
91030,,
91040,,
91042,,
91043,,
91101,,
91103,,
91104,,
91105,,
91106,,
91107,,
91108,,
91123,,
91125,,
91182,,
91189,,
91201,,
91202,,
91203,,
91204,,
91205,,
91206,,
91207,,
91208,,
91210,,
91214,,
91301,,
91302,,
91303,,
91304,,
91306,,
91307,,
91310,,
91311,,
91316,,
91321,,
91324,,
91325,,
91326,,
91330,,
91331,,
91335,,
91340,,
91342,,
91343,,
91344,,
91345,,
91346,,
91350,,
91351,,
91352,,
91354,,
91355,,
91356,,
91357,,
91361,,
91364,,
91365,,
91367,,
91381,,
91383,,
91384,,
91387,,
91390,,
91401,,
91402,,
91403,,
91405,,
91406,,
91411,,
91423,,
91436,,
91495,,
91501,,
91502,,
91504,,
91505,,
91506,,
91601,,
91602,,
91604,,
91605,,
91606,,
91607,,
91608,,
91614,,
91702,,
91706,,
91711,,
91722,,
91723,,
91724,,
91731,,
91732,,
91733,,
91735,,
91740,,
91741,,
91744,,
91745,,
91746,,
91747,,
91748,,
91750,,
91754,,
91755,,
91759,,
91765,,
91766,,
91767,,
91768,,
91770,,
91772,,
91773,,
91775,,
91776,,
91778,,
91780,,
91789,,
91790,,
91791,,
91792,,
91793,,
91801,,
91803,,
92397,,
93243,,
93510,,
93532,,
93534,,
93535,,
93536,,
93539,,
93543,,
93544,,
93550,,
93551,,
93552,,
93553,,
93563,,
93590,,
93591,,
93599,,
